H703,a,H703_0013_090Es,,,a,50%,,,,,,,,,,,,,,0.01,10
H703,a,H703_0203_081_RE_e8A5s,,,a,50%,,,,,,,,,,,,,,10,0.005
H703,a,H703_0217_050e_2A3,,,a,50%,,,,,,,,,,,,,,0.005,10
H703,a,H703_0279_110s,,,a,50%,,,,,,,,,,,,,,6.08,0.02
H703,a,H703_0472_030s,,,a,50%,,,,,,,,,,,,,,0.34,10
H703,a,H703_0537_011s_2B5,,,a,50%,,,,,,,,,,,,,,0.02,0.005
H703,a,H703_0537_011s_4H1,,,a,50%,,,,,,,,,,,,,,0.07,0.005
H703,a,H703_0566_160s,,,a,50%,,,,,,,,,,,,,,10,0.005
H703,a,H703_0629_150_RE_e5A2s,,,a,50%,,,,,,,,,,,,,,0.13,0.05
H703,a,H703_0646_051sN,,,a,50%,,,,,,,,,,,,,,0.005,9.29
H703,a,H703_0739_110s,,,a,50%,,,,,,,,,,,,,,0.03,0.01
H703,a,H703_0842_200Es,,,a,50%,,,,,,,,,,,,,,0.02,0.005
H703,a,H703_0865_070s,,,a,50%,,,,,,,,,,,,,,10,0.01
H703,a,H703_0926_070s_2H2,,,a,50%,,,,,,,,,,,,,,0.70,0.005
H703,a,H703_1060_080s,,,a,50%,,,,,,,,,,,,,,10,0.24
H703,a,H703_1104_100_Re10A5s,,,a,50%,,,,,,,,,,,,,,0.77,1.40
H703,a,H703_1104_100_Re10GS,,,a,50%,,,,,,,,,,,,,,0.17,0.62
H703,a,H703_1313_040s,,,a,50%,,,,,,,,,,,,,,0.005,0.005
H703,a,H703_1471_190s,,,a,50%,,,,,,,,,,,,,,0.00,0.005
H703,a,H703_1675_080s,,,a,50%,,,,,,,,,,,,,,0.005,0.005
H703,a,H703_1675_G613s,,,a,50%,,,,,,,,,,,,,,0.01,0.005
H703,a,H703_1750_140Es,,,a,50%,,,,,,,,,,,,,,10,0.005
H703,a,H703_1764_250_RE_cs,,,a,50%,,,,,,,,,,,,,,10,0.005
H703,a,H703_1789_230_RE_e3A3s,,,a,50%,,,,,,,,,,,,,,10,0.06
H703,a,H703_1848_190_RE_e6D1s,,,a,50%,,,,,,,,,,,,,,4.08,10
H703,a,H703_1889_100Es,,,a,50%,,,,,,,,,,,,,,0.005,0.005
H703,a,H703_2018_240_RE_e6A1s,,,a,50%,,,,,,,,,,,,,,0.005,0.005
H703,a,H703_2117_110_RE_e2A10s,,,a,50%,,,,,,,,,,,,,,0.005,10
H703,a,H703_2149_060_RE_eB10s,,,a,50%,,,,,,,,,,,,,,0.005,0.005
H703,a,H703_2304_150_RE_cs,,,a,50%,,,,,,,,,,,,,,0.01,0.005
H703,a,H703_2539_070_RE_e6F6s,,,a,50%,,,,,,,,,,,,,,10,0.02
H703,a,H703_2631_150_RE_e2F8s,,,a,50%,,,,,,,,,,,,,,0.005,10
H703,a,H703_2788_030Es_B1,,,a,50%,,,,,,,,,,,,,,10,0.38
H703,a,H703_2805_080Es,,,a,50%,,,,,,,,,,,,,,5.95,10
V703,a,V703_0203_081_RE_pblib002_s,,,a,50%,,,,,,,,,,,,,,10,0.005
V703,a,V703_0217_050_RE_pblib002_s,,,a,50%,,,,,,,,,,,,,,0.01,10
V703,a,V703_0279_110_RE_pblib002_s,,,a,50%,,,,,,,,,,,,,,10,0.04
V703,a,V703_0537_110_RE_pblib003_s,,,a,50%,,,,,,,,,,,,,,0.14,0.005
V703,a,V703_0566_160_RE_pblib002_s,,,a,50%,,,,,,,,,,,,,,10,0.005
V703,a,V703_0629_150_RE_pblib002_s,,,a,50%,,,,,,,,,,,,,,0.21,0.06
V703,a,V703_0629_150_RE_pblib003_s,,,a,50%,,,,,,,,,,,,,,0.20,0.13
V703,a,V703_0629_150_RE_pblib004_s,,,a,50%,,,,,,,,,,,,,,0.09,0.22
V703,a,V703_1104_100_RE_pblib001_s,,,a,50%,,,,,,,,,,,,,,0.57,0.80
