0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Study,Treatment,Virus,VirusID,AssayID,Lab,Poscrit,VRC01.23LS 0.5mg/ml,VRC01.23LS 0.1mg/ml,PGT151,VRC34.01 ,CAP248-2B,ACS202,VRC01,CH01-31,PGT151_4A/293i,CH235.12,VRC34.01,1-18,VRC01.23LS
V703,b,V703_0537_110_RE_pblib003_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,0.19,N/A,N/A,>10,>10,>10,0.0138,<0.005
V703,b,V703_0566_160_RE_pblib002_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.2,1.28,N/A,N/A,>10,>10,0.08,0.06,0.17
V703,b,V703_0629_150_RE_pblib002_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.01,0.34,N/A,N/A,>10,>10,0.1,0.08,0.07
V703,b,V703_0629_150_RE_pblib003_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.06,1.5,N/A,N/A,>10,>10,>10,0.11,0.06
V703,b,V703_0629_150_RE_pblib004_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.01,0.41,N/A,N/A,>10,>10,1.1,0.12,0.08
V703,b,V703_1104_100_RE_pblib001_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,4.23,>10,0.28,1.41
V703,b,V703_1298_080_RE_pblib002_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.1,0.16,N/A,N/A,>10,>10,>10,0.15,0.13
V703,b,V703_1848_190_RE_pblib002_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.06,0.92,N/A,N/A,>10,>10,>10,0.0517,0.07
V703,b,V703_1915_250_RE_sgaA3_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.04,5.6,N/A,N/A,>10,>10,>10,0.0841,0.04
V703,b,V703_2805_080_RE_pblib002_s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,0.84,>10,>10
H703,b,H703_0013_090Es,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,1.93,1.07
H703,b,H703_0203_081_RE_e8A5s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,1.91,5.69
H703,b,H703_0217_050e_2A3,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.04,1.16,N/A,N/A,>10,>10,0.09,0.08,0.22
H703,b,H703_0279_110s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.36,0.51
H703,b,H703_0472_030s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.13,0.18,N/A,N/A,>10,>10,>10,0.0115,<0.005
H703,b,H703_0537_011s_2B5,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,0.13,N/A,N/A,>10,>10,>10,0.02,0.01
H703,b,H703_0537_011s_4H1,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,2.63,N/A,N/A,>10,>10,>10,0.06,0.01
H703,b,H703_0566_160s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,1.33,N/A,N/A,>10,>10,0.3,0.2,0.65
H703,b,H703_0629_150_RE_e5A2s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.02,0.73,N/A,N/A,>10,>10,>10,0.23,0.08
H703,b,H703_0646_051sN,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,0.32,1.85,3.00
H703,b,H703_0739_110s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,1.11,N/A,N/A,>10,0.25,>10,0.1,0.07
H703,b,H703_0842_200Es,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,>10,6.75
H703,b,H703_0865_070s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,4.15,N/A,N/A,>10,>10,>10,0.39,4.83
H703,b,H703_0926_070s_2H2,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,9.8,N/A,N/A,>10,>10,>10,7.85,2.36
H703,b,H703_1060_080s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,4.39,N/A,N/A,>10,>10,>10,0.76,1.00
H703,b,H703_1104_100_Re10A5s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.93,4.40
H703,b,H703_1104_100_Re10GS,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.63,3.69
H703,b,H703_1313_040s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.26,0.24
H703,b,H703_1471_190s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.02,1.89,N/A,N/A,>10,>10,>10,0.15,0.07
H703,b,H703_1675_080s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,0.7,N/A,N/A,>10,>10,>10,0.11,0.17
H703,b,H703_1675_G613s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,4.81,0.55,N/A,N/A,>10,>10,>10,0.09,0.19
H703,b,H703_1750_140Es,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.3,3.32,N/A,N/A,>10,>10,8.3,0.69,0.52
H703,b,H703_1764_250_RE_cs,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,0.57,N/A,N/A,>10,>10,>10,0.09,0.20
H703,b,H703_1789_230_RE_e3A3s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.43,1.75
H703,b,H703_1848_190_RE_e6D1s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.14,0.92,N/A,N/A,>10,>10,>10,0.36,0.65
H703,b,H703_1889_100Es,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,9.48,N/A,N/A,>10,>10,>10,0.33,0.90
H703,b,H703_2018_240_RE_e6A1s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.68,0.31
H703,b,H703_2117_110_RE_e2A10s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,1.33,N/A,N/A,>10,>10,>10,0.37,0.11
H703,b,H703_2149_060_RE_eB10s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.1,0.07
H703,b,H703_2304_150_RE_cs,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,0.22,N/A,N/A,>10,>10,0.11,0.24,0.04
H703,b,H703_2539_070_RE_e6F6s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,>10,>10
H703,b,H703_2631_150_RE_e2F8s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,2.8,N/A,N/A,>10,>10,3.9,0.12,0.26
H703,b,H703_2788_030Es_B1,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,7.8,N/A,N/A,>10,>10,>10,2.55,7.44
H703,b,H703_2805_080Es,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.5,0.85,N/A,N/A,>10,>10,0.81,0.1,0.10
V703,b,V703_0203_081_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,2.26,3.27
V703,b,V703_0217_050_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.0162,0.79,N/A,N/A,0.04,>10,0.06,0.01,0.24
V703,b,V703_0279_110_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.64,0.35
V703,b,V703_0537_110_RE_pblib003_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,0.56,N/A,N/A,>10,>10,>10,0.0411,0.01
V703,b,V703_0566_160_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,3.6,N/A,N/A,>10,>10,0.27,0.21,0.64
V703,b,V703_0629_150_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.04,2.3,N/A,N/A,>10,>10,0.87,0.31,0.28
V703,b,V703_0629_150_RE_pblib003_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.19,4.66,N/A,N/A,>10,>10,>10,0.29,0.19
V703,b,V703_0629_150_RE_pblib004_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,0.04,1.51,N/A,N/A,>10,>10,>10,0.31,0.24
V703,b,V703_1104_100_RE_pblib001_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.85,4.31
V703,b,V703_1298_080_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,9.49,0.59,N/A,N/A,>10,>10,>10,0.77,0.38
V703,b,V703_1848_190_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,3.7,N/A,N/A,>10,>10,>10,0.29,0.24
V703,b,V703_1915_250_RE_sgaA3_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,5.62,>10,N/A,N/A,>10,>10,>10,0.28,0.18
V703,b,V703_2805_080_RE_pblib002_s,N/A,N/A,b,80%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,9.05,>10,>10
